Scenario,Month,FanEnergy(kWh),HeatingEnergy(therms),CoolingEnergy(kWh),FanEnergy($),HeatingEnergy($),CoolingEnergy($),MonthlyCost($)
msp_102_102_1VB-15, 01,122.65,270.13,0.0,16.12,224.21,0.0,240.33
msp_102_102_1VB-15, 02,76.15,167.71,0.0,10.01,139.2,0.0,149.2
msp_102_102_1VB-15, 03,52.88,115.31,4.89,6.95,95.71,0.64,103.3
msp_102_102_1VB-15, 04,37.55,63.44,90.96,4.93,52.66,11.95,69.54
msp_102_102_1VB-15, 05,31.7,9.72,280.87,4.17,8.07,36.91,49.14
msp_102_102_1VB-15, 06,53.61,1.61,549.98,7.04,1.33,72.27,80.64
msp_102_102_1VB-15, 07,82.89,0.0,895.99,10.89,0.0,117.73,128.62
msp_102_102_1VB-15, 08,56.4,0.28,590.12,7.41,0.23,77.54,85.18
msp_102_102_1VB-15, 09,35.78,14.29,302.68,4.7,11.86,39.77,56.33
msp_102_102_1VB-15, 10,26.18,52.05,23.72,3.44,43.21,3.12,49.76
msp_102_102_1VB-15, 11,60.45,133.02,0.5,7.94,110.4,0.07,118.41
msp_102_102_1VB-15, 12,103.43,227.8,0.0,13.59,189.07,0.0,202.66
msp_102_102_1VB-30, 01,122.75,270.34,0.0,16.13,224.38,0.0,240.51
msp_102_102_1VB-30, 02,75.94,167.26,0.0,9.98,138.83,0.0,148.8
msp_102_102_1VB-30, 03,52.65,114.65,5.5,6.92,95.16,0.72,102.8
msp_102_102_1VB-30, 04,37.57,63.45,91.11,4.94,52.67,11.97,69.58
msp_102_102_1VB-30, 05,31.54,9.76,279.05,4.14,8.1,36.67,48.92
msp_102_102_1VB-30, 06,53.29,1.61,546.7,7.0,1.34,71.84,80.18
msp_102_102_1VB-30, 07,82.49,0.0,891.87,10.84,0.0,117.19,128.03
msp_102_102_1VB-30, 08,56.25,0.28,588.61,7.39,0.23,77.34,84.97
msp_102_102_1VB-30, 09,36.1,14.28,305.97,4.74,11.85,40.2,56.8
msp_102_102_1VB-30, 10,26.44,51.99,26.41,3.47,43.15,3.47,50.09
msp_102_102_1VB-30, 11,60.43,132.95,0.62,7.94,110.35,0.08,118.37
msp_102_102_1VB-30, 12,103.53,228.01,0.0,13.6,189.25,0.0,202.86
msp_102_102_1VB-45, 01,123.94,272.97,0.0,16.29,226.56,0.0,242.85
msp_102_102_1VB-45, 02,77.05,169.69,0.0,10.12,140.84,0.0,150.97
msp_102_102_1VB-45, 03,53.05,115.71,4.82,6.97,96.04,0.63,103.64
msp_102_102_1VB-45, 04,37.59,64.44,86.89,4.94,53.49,11.42,69.84
msp_102_102_1VB-45, 05,30.1,10.04,263.51,3.95,8.33,34.62,46.91
msp_102_102_1VB-45, 06,51.07,1.67,523.97,6.71,1.39,68.85,76.95
msp_102_102_1VB-45, 07,80.08,0.0,866.77,10.52,0.0,113.89,124.42
msp_102_102_1VB-45, 08,54.26,0.28,568.56,7.13,0.23,74.71,82.07
msp_102_102_1VB-45, 09,35.3,14.48,297.05,4.64,12.02,39.03,55.69
msp_102_102_1VB-45, 10,26.23,52.79,21.15,3.45,43.82,2.78,50.04
msp_102_102_1VB-45, 11,61.2,134.74,0.17,8.04,111.84,0.02,119.9
msp_102_102_1VB-45, 12,104.37,229.87,0.0,13.71,190.79,0.0,204.51
msp_102_102_1VB-60, 01,125.67,276.77,0.0,16.51,229.72,0.0,246.23
msp_102_102_1VB-60, 02,79.01,174.02,0.0,10.38,144.44,0.0,154.82
msp_102_102_1VB-60, 03,54.55,119.66,2.07,7.17,99.31,0.27,106.76
msp_102_102_1VB-60, 04,37.68,66.75,77.45,4.95,55.4,10.18,70.53
msp_102_102_1VB-60, 05,27.32,10.59,233.41,3.59,8.79,30.67,43.05
msp_102_102_1VB-60, 06,47.03,1.81,482.28,6.18,1.5,63.37,71.05
msp_102_102_1VB-60, 07,75.61,0.0,820.03,9.93,0.0,107.75,117.69
msp_102_102_1VB-60, 08,50.08,0.29,526.14,6.58,0.24,69.13,75.95
msp_102_102_1VB-60, 09,32.37,14.99,265.36,4.25,12.45,34.87,51.57
msp_102_102_1VB-60, 10,26.02,54.72,11.05,3.42,45.42,1.45,50.29
msp_102_102_1VB-60, 11,62.48,137.61,0.0,8.21,114.22,0.0,122.43
msp_102_102_1VB-60, 12,105.56,232.47,0.0,13.87,192.95,0.0,206.82
msp_102_102_1VB-75, 01,127.67,281.18,0.0,16.78,233.38,0.0,250.15
msp_102_102_1VB-75, 02,81.31,179.07,0.0,10.68,148.63,0.0,159.32
msp_102_102_1VB-75, 03,56.99,125.51,0.07,7.49,104.17,0.01,111.67
msp_102_102_1VB-75, 04,37.87,70.63,61.62,4.98,58.62,8.1,71.69
msp_102_102_1VB-75, 05,23.18,11.52,187.61,3.05,9.56,24.65,37.26
msp_102_102_1VB-75, 06,41.29,2.03,422.53,5.43,1.69,55.52,62.63
msp_102_102_1VB-75, 07,69.05,0.0,751.03,9.07,0.0,98.69,107.76
msp_102_102_1VB-75, 08,43.44,0.3,458.5,5.71,0.25,60.25,66.2
msp_102_102_1VB-75, 09,28.03,15.81,217.85,3.68,13.13,28.62,45.43
msp_102_102_1VB-75, 10,26.49,57.63,3.04,3.48,47.83,0.4,51.71
msp_102_102_1VB-75, 11,64.0,140.95,0.0,8.41,116.99,0.0,125.4
msp_102_102_1VB-75, 12,106.93,235.5,0.0,14.05,195.47,0.0,209.52
msp_102_102_1VB0, 01,123.48,271.95,0.0,16.23,225.72,0.0,241.95
msp_102_102_1VB0, 02,76.98,169.53,0.0,10.11,140.71,0.0,150.83
msp_102_102_1VB0, 03,53.45,116.81,3.84,7.02,96.95,0.51,104.48
msp_102_102_1VB0, 04,37.52,64.19,87.39,4.93,53.28,11.48,69.69
msp_102_102_1VB0, 05,30.9,9.87,272.27,4.06,8.19,35.78,48.03
msp_102_102_1VB0, 06,52.57,1.64,539.35,6.91,1.36,70.87,79.14
msp_102_102_1VB0, 07,81.75,0.0,884.23,10.74,0.0,116.19,126.93
msp_102_102_1VB0, 08,55.14,0.28,577.48,7.25,0.23,75.88,83.36
msp_102_102_1VB0, 09,34.83,14.47,292.45,4.58,12.01,38.43,55.02
msp_102_102_1VB0, 10,25.89,52.72,18.33,3.4,43.75,2.41,49.56
msp_102_102_1VB0, 11,61.0,134.31,0.17,8.02,111.48,0.02,119.52
msp_102_102_1VB0, 12,104.04,229.13,0.0,13.67,190.17,0.0,203.85
msp_102_102_1VB15, 01,124.5,274.2,0.0,16.36,227.59,0.0,243.95
msp_102_102_1VB15, 02,78.01,171.8,0.0,10.25,142.59,0.0,152.84
msp_102_102_1VB15, 03,54.15,118.62,2.71,7.11,98.45,0.36,105.92
msp_102_102_1VB15, 04,37.52,65.46,81.69,4.93,54.34,10.73,70.0
msp_102_102_1VB15, 05,29.42,10.16,256.3,3.87,8.43,33.68,45.97
msp_102_102_1VB15, 06,50.55,1.71,518.59,6.64,1.42,68.14,76.2
msp_102_102_1VB15, 07,79.47,0.0,860.41,10.44,0.0,113.06,123.5
msp_102_102_1VB15, 08,52.86,0.29,554.36,6.95,0.24,72.84,80.03
msp_102_102_1VB15, 09,33.44,14.75,277.28,4.39,12.24,36.43,53.07
msp_102_102_1VB15, 10,25.83,53.71,13.58,3.39,44.58,1.78,49.76
msp_102_102_1VB15, 11,61.73,135.94,0.0,8.11,112.83,0.0,120.94
msp_102_102_1VB15, 12,104.76,230.72,0.0,13.77,191.49,0.0,205.26
msp_102_102_1VB30, 01,125.55,276.51,0.0,16.5,229.5,0.0,246.0
msp_102_102_1VB30, 02,79.03,174.05,0.0,10.38,144.46,0.0,154.85
msp_102_102_1VB30, 03,54.99,120.73,1.58,7.23,100.21,0.21,107.64
msp_102_102_1VB30, 04,37.58,67.03,75.2,4.94,55.63,9.88,70.45
msp_102_102_1VB30, 05,27.54,10.53,235.87,3.62,8.74,30.99,43.35
msp_102_102_1VB30, 06,47.96,1.8,491.82,6.3,1.49,64.62,72.42
msp_102_102_1VB30, 07,76.5,0.0,829.39,10.05,0.0,108.98,119.03
msp_102_102_1VB30, 08,50.0,0.29,525.37,6.57,0.24,69.03,75.84
msp_102_102_1VB30, 09,31.77,15.08,258.9,4.17,12.52,34.02,50.71
msp_102_102_1VB30, 10,25.97,54.89,9.87,3.41,45.56,1.3,50.27
msp_102_102_1VB30, 11,62.47,137.58,0.0,8.21,114.19,0.0,122.4
msp_102_102_1VB30, 12,105.49,232.32,0.0,13.86,192.83,0.0,206.69
msp_102_102_1VB45, 01,126.5,278.61,0.0,16.62,231.25,0.0,247.87
msp_102_102_1VB45, 02,80.09,176.39,0.0,10.52,146.4,0.0,156.92
msp_102_102_1VB45, 03,55.99,123.17,0.64,7.36,102.23,0.08,109.67
msp_102_102_1VB45, 04,37.68,68.85,67.8,4.95,57.15,8.91,71.01
msp_102_102_1VB45, 05,25.32,11.01,211.5,3.33,9.14,27.79,40.26
msp_102_102_1VB45, 06,44.76,1.91,458.56,5.88,1.59,60.26,67.72
msp_102_102_1VB45, 07,72.87,0.0,791.24,9.58,0.0,103.97,113.54
msp_102_102_1VB45, 08,46.63,0.29,491.1,6.13,0.24,64.53,70.9
msp_102_102_1VB45, 09,29.82,15.46,237.5,3.92,12.84,31.21,47.96
msp_102_102_1VB45, 10,26.18,56.22,6.13,3.44,46.66,0.81,50.91
msp_102_102_1VB45, 11,63.18,139.15,0.0,8.3,115.5,0.0,123.8
msp_102_102_1VB45, 12,106.12,233.73,0.0,13.94,193.99,0.0,207.94
msp_102_102_1VB60, 01,127.45,280.7,0.0,16.75,232.98,0.0,249.73
msp_102_102_1VB60, 02,81.17,178.78,0.0,10.67,148.39,0.0,159.05
msp_102_102_1VB60, 03,57.14,125.84,0.04,7.51,104.45,0.01,111.96
msp_102_102_1VB60, 04,37.82,70.88,59.9,4.97,58.83,7.87,71.67
msp_102_102_1VB60, 05,22.9,11.57,184.62,3.01,9.6,24.26,36.87
msp_102_102_1VB60, 06,41.11,2.04,420.63,5.4,1.69,55.27,62.37
msp_102_102_1VB60, 07,68.78,0.0,748.15,9.04,0.0,98.31,107.35
msp_102_102_1VB60, 08,42.99,0.3,453.88,5.65,0.25,59.64,65.54
msp_102_102_1VB60, 09,27.72,15.88,214.33,3.64,13.18,28.16,44.98
msp_102_102_1VB60, 10,26.49,57.69,2.85,3.48,47.88,0.37,51.74
msp_102_102_1VB60, 11,63.91,140.75,0.0,8.4,116.82,0.0,125.22
msp_102_102_1VB60, 12,106.76,235.12,0.0,14.03,195.15,0.0,209.18
msp_102_102_1VB75, 01,128.58,283.19,0.0,16.9,235.05,0.0,251.95
msp_102_102_1VB75, 02,82.36,181.4,0.0,10.82,150.56,0.0,161.38
msp_102_102_1VB75, 03,58.45,128.72,0.0,7.68,106.84,0.0,114.52
msp_102_102_1VB75, 04,38.09,73.11,52.32,5.01,60.68,6.88,72.56
msp_102_102_1VB75, 05,20.7,12.24,159.24,2.72,10.16,20.92,33.81
msp_102_102_1VB75, 06,37.47,2.21,382.39,4.92,1.83,50.25,57.0
msp_102_102_1VB75, 07,64.67,0.0,704.77,8.5,0.0,92.61,101.11
msp_102_102_1VB75, 08,39.42,0.31,417.24,5.18,0.26,54.83,60.26
msp_102_102_1VB75, 09,25.77,16.35,192.39,3.39,13.57,25.28,42.24
msp_102_102_1VB75, 10,27.08,59.39,1.06,3.56,49.3,0.14,52.99
msp_102_102_1VB75, 11,64.74,142.57,0.0,8.51,118.34,0.0,126.84
msp_102_102_1VB75, 12,107.56,236.89,0.0,14.13,196.62,0.0,210.75
msp_102_102_base, 01,126.55,278.7,0.0,16.63,231.32,0.0,247.95
msp_102_102_base, 02,78.17,172.16,0.0,10.27,142.9,0.0,153.17
msp_102_102_base, 03,54.09,116.85,9.59,7.11,96.99,1.26,105.36
msp_102_102_base, 04,40.77,64.81,116.3,5.36,53.79,15.28,74.43
msp_102_102_base, 05,38.21,10.48,342.19,5.02,8.7,44.96,58.69
msp_102_102_base, 06,60.76,1.81,622.63,7.98,1.5,81.81,91.3
msp_102_102_base, 07,90.67,0.0,978.57,11.91,0.0,128.58,140.5
msp_102_102_base, 08,63.21,0.38,659.28,8.31,0.31,86.63,95.25
msp_102_102_base, 09,41.1,15.34,351.43,5.4,12.73,46.18,64.31
msp_102_102_base, 10,29.18,54.81,39.87,3.83,45.49,5.24,54.56
msp_102_102_base, 11,62.83,138.09,1.19,8.26,114.62,0.16,123.03
msp_102_102_base, 12,107.19,236.08,0.0,14.09,195.95,0.0,210.03
msp_102_102_cellularHT, 01,123.97,273.02,0.0,16.29,226.61,0.0,242.9
msp_102_102_cellularHT, 02,77.64,171.0,0.0,10.2,141.93,0.0,152.13
msp_102_102_cellularHT, 03,53.75,117.91,2.05,7.06,97.86,0.27,105.2
msp_102_102_cellularHT, 04,37.0,65.42,76.6,4.86,54.3,10.07,69.22
msp_102_102_cellularHT, 05,27.54,10.17,237.36,3.62,8.44,31.19,43.25
msp_102_102_cellularHT, 06,47.81,1.68,490.64,6.28,1.4,64.47,72.15
msp_102_102_cellularHT, 07,76.12,0.0,825.14,10.0,0.0,108.42,118.43
msp_102_102_cellularHT, 08,50.39,0.26,529.21,6.62,0.21,69.54,76.37
msp_102_102_cellularHT, 09,32.08,14.48,264.7,4.22,12.02,34.78,51.01
msp_102_102_cellularHT, 10,25.41,53.19,11.84,3.34,44.15,1.56,49.04
msp_102_102_cellularHT, 11,61.22,134.82,0.0,8.04,111.9,0.0,119.95
msp_102_102_cellularHT, 12,104.04,229.13,0.0,13.67,190.18,0.0,203.85
msp_102_102_cellularLT, 01,119.93,264.13,0.0,15.76,219.23,0.0,234.99
msp_102_102_cellularLT, 02,76.61,168.73,0.0,10.07,140.05,0.0,150.12
msp_102_102_cellularLT, 03,54.29,119.56,0.0,7.13,99.24,0.0,106.37
msp_102_102_cellularLT, 04,35.07,67.5,47.35,4.61,56.02,6.22,66.85
msp_102_102_cellularLT, 05,18.71,10.86,144.95,2.46,9.01,19.05,30.51
msp_102_102_cellularLT, 06,35.05,1.84,358.68,4.61,1.53,47.13,53.27
msp_102_102_cellularLT, 07,61.27,0.0,667.96,8.05,0.0,87.77,95.82
msp_102_102_cellularLT, 08,37.43,0.18,396.73,4.92,0.15,52.13,57.2
msp_102_102_cellularLT, 09,23.69,14.27,180.41,3.11,11.85,23.71,38.66
msp_102_102_cellularLT, 10,24.43,53.67,0.55,3.21,44.55,0.07,47.83
msp_102_102_cellularLT, 11,59.69,131.46,0.0,7.84,109.11,0.0,116.95
msp_102_102_cellularLT, 12,99.92,220.06,0.0,13.13,182.65,0.0,195.78
msp_102_2011_1VB-15, 01,119.39,262.95,0.0,15.69,218.25,0.0,233.94
msp_102_2011_1VB-15, 02,75.03,165.25,0.0,9.86,137.15,0.0,147.01
msp_102_2011_1VB-15, 03,52.21,114.93,0.3,6.86,95.39,0.04,102.29
msp_102_2011_1VB-15, 04,34.84,63.68,62.69,4.58,52.86,8.24,65.67
msp_102_2011_1VB-15, 05,23.16,9.63,195.7,3.04,7.99,25.72,36.75
msp_102_2011_1VB-15, 06,42.43,1.56,435.71,5.58,1.3,57.25,64.12
msp_102_2011_1VB-15, 07,69.9,0.0,758.84,9.18,0.0,99.71,108.9
msp_102_2011_1VB-15, 08,45.05,0.17,474.8,5.92,0.14,62.39,68.45
msp_102_2011_1VB-15, 09,28.0,13.5,227.8,3.68,11.2,29.93,44.82
msp_102_2011_1VB-15, 10,23.53,50.65,5.01,3.09,42.04,0.66,45.79
msp_102_2011_1VB-15, 11,58.57,128.99,0.0,7.7,107.07,0.0,114.76
msp_102_2011_1VB-15, 12,99.6,219.37,0.0,13.09,182.08,0.0,195.16
msp_102_2011_1VB-15-a, 01,116.83,257.31,0.0,15.35,213.56,0.0,228.92
msp_102_2011_1VB-15-a, 02,73.05,160.89,0.0,9.6,133.54,0.0,143.14
msp_102_2011_1VB-15-a, 03,50.57,111.27,0.48,6.65,92.35,0.06,99.06
msp_102_2011_1VB-15-a, 04,33.84,61.23,63.82,4.45,50.82,8.39,63.66
msp_102_2011_1VB-15-a, 05,23.39,8.98,200.84,3.07,7.46,26.39,36.92
msp_102_2011_1VB-15-a, 06,42.99,1.42,441.87,5.65,1.18,58.06,64.89
msp_102_2011_1VB-15-a, 07,70.31,0.0,762.88,9.24,0.0,100.24,109.48
msp_102_2011_1VB-15-a, 08,45.75,0.13,481.88,6.01,0.11,63.32,69.44
msp_102_2011_1VB-15-a, 09,28.11,12.71,232.38,3.69,10.55,30.53,44.78
msp_102_2011_1VB-15-a, 10,22.59,48.36,5.92,2.97,40.14,0.78,43.88
msp_102_2011_1VB-15-a, 11,56.83,125.16,0.0,7.47,103.89,0.0,111.35
msp_102_2011_1VB-15-a, 12,97.29,214.26,0.0,12.78,177.84,0.0,190.62
msp_102_2011_1VB-30, 01,119.44,263.05,0.0,15.69,218.33,0.0,234.03
msp_102_2011_1VB-30, 02,74.96,165.09,0.0,9.85,137.03,0.0,146.88
msp_102_2011_1VB-30, 03,52.11,114.69,0.37,6.85,95.19,0.05,102.09
msp_102_2011_1VB-30, 04,34.84,63.7,62.59,4.58,52.87,8.22,65.68
msp_102_2011_1VB-30, 05,23.06,9.66,194.55,3.03,8.02,25.56,36.61
msp_102_2011_1VB-30, 06,42.25,1.57,433.82,5.55,1.3,57.0,63.86
msp_102_2011_1VB-30, 07,69.68,0.0,756.58,9.16,0.0,99.42,108.57
msp_102_2011_1VB-30, 08,44.95,0.17,473.74,5.91,0.14,62.25,68.3
msp_102_2011_1VB-30, 09,28.11,13.5,228.93,3.69,11.2,30.08,44.98
msp_102_2011_1VB-30, 10,23.57,50.6,5.59,3.1,42.0,0.73,45.83
msp_102_2011_1VB-30, 11,58.57,128.99,0.0,7.7,107.06,0.0,114.76
msp_102_2011_1VB-30, 12,99.65,219.47,0.0,13.09,182.16,0.0,195.26
msp_102_2011_1VB-30-a, 01,116.89,257.43,0.0,15.36,213.67,0.0,229.02
msp_102_2011_1VB-30-a, 02,72.99,160.75,0.0,9.59,133.42,0.0,143.01
msp_102_2011_1VB-30-a, 03,50.48,111.04,0.58,6.63,92.16,0.08,98.87
msp_102_2011_1VB-30-a, 04,33.84,61.26,63.73,4.45,50.85,8.37,63.67
msp_102_2011_1VB-30-a, 05,23.3,9.02,199.71,3.06,7.48,26.24,36.79
msp_102_2011_1VB-30-a, 06,42.81,1.43,440.05,5.63,1.18,57.82,64.63
msp_102_2011_1VB-30-a, 07,70.1,0.0,760.71,9.21,0.0,99.96,109.17
msp_102_2011_1VB-30-a, 08,45.65,0.13,480.84,6.0,0.11,63.18,69.29
msp_102_2011_1VB-30-a, 09,28.22,12.71,233.56,3.71,10.55,30.69,44.95
msp_102_2011_1VB-30-a, 10,22.64,48.33,6.54,2.97,40.11,0.86,43.94
msp_102_2011_1VB-30-a, 11,56.84,125.18,0.0,7.47,103.9,0.0,111.37
msp_102_2011_1VB-30-a, 12,97.34,214.39,0.0,12.79,177.94,0.0,190.73
msp_102_2011_1VB-45, 01,119.97,264.22,0.0,15.76,219.3,0.0,235.06
msp_102_2011_1VB-45, 02,75.48,166.23,0.0,9.92,137.97,0.0,147.89
msp_102_2011_1VB-45, 03,52.37,115.29,0.25,6.88,95.69,0.03,102.6
msp_102_2011_1VB-45, 04,34.93,64.26,60.95,4.59,53.33,8.01,65.93
msp_102_2011_1VB-45, 05,22.45,9.84,187.59,2.95,8.16,24.65,35.76
msp_102_2011_1VB-45, 06,41.19,1.61,422.86,5.41,1.33,55.56,62.31
msp_102_2011_1VB-45, 07,68.5,0.0,744.18,9.0,0.0,97.79,106.79
msp_102_2011_1VB-45, 08,43.98,0.17,463.87,5.78,0.14,60.95,66.88
msp_102_2011_1VB-45, 09,27.72,13.61,224.54,3.64,11.29,29.5,44.44
msp_102_2011_1VB-45, 10,23.7,51.12,4.58,3.11,42.43,0.6,46.14
msp_102_2011_1VB-45, 11,58.95,129.84,0.0,7.75,107.76,0.0,115.51
msp_102_2011_1VB-45, 12,100.02,220.29,0.0,13.14,182.84,0.0,195.98
msp_102_2011_1VB-45-a, 01,117.43,258.62,0.0,15.43,214.66,0.0,230.09
msp_102_2011_1VB-45-a, 02,73.52,161.91,0.0,9.66,134.39,0.0,144.05
msp_102_2011_1VB-45-a, 03,50.74,111.65,0.42,6.67,92.67,0.06,99.39
msp_102_2011_1VB-45-a, 04,33.94,61.82,62.11,4.46,51.31,8.16,63.93
msp_102_2011_1VB-45-a, 05,22.67,9.19,192.65,2.98,7.63,25.31,35.92
msp_102_2011_1VB-45-a, 06,41.76,1.46,429.19,5.49,1.21,56.4,63.1
msp_102_2011_1VB-45-a, 07,68.93,0.0,748.46,9.06,0.0,98.35,107.4
msp_102_2011_1VB-45-a, 08,44.68,0.13,471.0,5.87,0.11,61.89,67.87
msp_102_2011_1VB-45-a, 09,27.84,12.83,229.18,3.66,10.65,30.11,44.43
msp_102_2011_1VB-45-a, 10,22.75,48.84,5.44,2.99,40.53,0.72,44.24
msp_102_2011_1VB-45-a, 11,57.23,126.05,0.0,7.52,104.62,0.0,112.14
msp_102_2011_1VB-45-a, 12,97.73,215.23,0.0,12.84,178.64,0.0,191.49
msp_102_2011_1VB-60, 01,120.76,265.97,0.0,15.87,220.76,0.0,236.62
msp_102_2011_1VB-60, 02,76.37,168.21,0.0,10.04,139.61,0.0,149.65
msp_102_2011_1VB-60, 03,53.23,117.22,0.02,6.99,97.29,0.0,104.29
msp_102_2011_1VB-60, 04,35.13,65.47,57.37,4.62,54.34,7.54,66.5
msp_102_2011_1VB-60, 05,21.33,10.16,174.83,2.8,8.44,22.97,34.21
msp_102_2011_1VB-60, 06,39.3,1.69,403.22,5.16,1.4,52.98,59.55
msp_102_2011_1VB-60, 07,66.36,0.0,721.8,8.72,0.0,94.84,103.57
msp_102_2011_1VB-60, 08,42.01,0.18,443.85,5.52,0.15,58.32,63.99
msp_102_2011_1VB-60, 09,26.47,13.89,210.55,3.48,11.53,27.67,42.67
msp_102_2011_1VB-60, 10,23.97,52.24,2.34,3.15,43.36,0.31,46.81
msp_102_2011_1VB-60, 11,59.56,131.17,0.0,7.83,108.87,0.0,116.7
msp_102_2011_1VB-60, 12,100.56,221.47,0.0,13.21,183.82,0.0,197.04
msp_102_2011_1VB-60-a, 01,118.24,260.4,0.0,15.54,216.13,0.0,231.67
msp_102_2011_1VB-60-a, 02,74.42,163.91,0.0,9.78,136.04,0.0,145.82
msp_102_2011_1VB-60-a, 03,51.58,113.58,0.07,6.78,94.28,0.01,101.06
msp_102_2011_1VB-60-a, 04,34.13,63.03,58.53,4.49,52.32,7.69,64.49
msp_102_2011_1VB-60-a, 05,21.52,9.5,179.69,2.83,7.89,23.61,34.33
msp_102_2011_1VB-60-a, 06,39.89,1.53,409.7,5.24,1.27,53.83,60.35
msp_102_2011_1VB-60-a, 07,66.83,0.0,726.34,8.78,0.0,95.44,104.22
msp_102_2011_1VB-60-a, 08,42.72,0.13,451.06,5.61,0.11,59.27,64.99
msp_102_2011_1VB-60-a, 09,26.58,13.11,215.12,3.49,10.88,28.27,42.64
msp_102_2011_1VB-60-a, 10,22.98,49.93,2.92,3.02,41.44,0.38,44.84
msp_102_2011_1VB-60-a, 11,57.84,127.4,0.0,7.6,105.74,0.0,113.34
msp_102_2011_1VB-60-a, 12,98.28,216.45,0.0,12.91,179.65,0.0,192.56
msp_102_2011_1VB-75, 01,121.72,268.08,0.0,15.99,222.5,0.0,238.5
msp_102_2011_1VB-75, 02,77.42,170.51,0.0,10.17,141.53,0.0,151.7
msp_102_2011_1VB-75, 03,54.44,119.91,0.0,7.15,99.52,0.0,106.68
msp_102_2011_1VB-75, 04,35.36,67.33,51.21,4.65,55.88,6.73,67.26
msp_102_2011_1VB-75, 05,19.77,10.65,156.81,2.6,8.84,20.6,32.04
msp_102_2011_1VB-75, 06,36.81,1.82,376.99,4.84,1.51,49.54,55.88
msp_102_2011_1VB-75, 07,63.45,0.0,691.06,8.34,0.0,90.81,99.14
msp_102_2011_1VB-75, 08,39.12,0.18,414.22,5.14,0.15,54.43,59.72
msp_102_2011_1VB-75, 09,24.7,14.29,190.73,3.25,11.86,25.06,40.17
msp_102_2011_1VB-75, 10,24.5,53.75,0.92,3.22,44.61,0.12,47.95
msp_102_2011_1VB-75, 11,60.26,132.72,0.0,7.92,110.16,0.0,118.07
msp_102_2011_1VB-75, 12,101.21,222.9,0.0,13.3,185.01,0.0,198.31
msp_102_2011_1VB-75-a, 01,119.18,262.47,0.0,15.66,217.85,0.0,233.51
msp_102_2011_1VB-75-a, 02,75.45,166.18,0.0,9.91,137.93,0.0,147.84
msp_102_2011_1VB-75-a, 03,52.77,116.23,0.0,6.93,96.47,0.0,103.41
