Month,Base_FanEnergy(kWh),Base_HeatingEnergy(therms),Base_CoolingEnergy(kWh),Base_FanCost($),Base_HeatingCost($),CoolingCost($),Base_MonthlyCost($)
 01,123.48,271.95,0.0,16.23,225.72,0.0,241.95
 02,76.98,169.53,0.0,10.11,140.71,0.0,150.83
 03,53.45,116.81,3.85,7.02,96.95,0.51,104.48
 04,37.54,64.19,87.61,4.93,53.28,11.51,69.73
 05,30.96,9.87,272.91,4.07,8.19,35.86,48.12
 06,52.7,1.64,540.62,6.92,1.36,71.04,79.32
 07,81.92,0.0,885.88,10.76,0.0,116.4,127.17
 08,55.26,0.28,578.67,7.26,0.23,76.04,83.53
 09,34.9,14.47,293.15,4.59,12.01,38.52,55.12
 10,25.9,52.72,18.35,3.4,43.75,2.41,49.57
 11,61.0,134.31,0.17,8.02,111.48,0.02,119.52
 12,104.04,229.13,0.0,13.67,190.18,0.0,203.85
