Scenario,Illuminance(lux),FanEnergy(kBtu),HeatingEnergy(kBtu),CoolingEnergy(kBtu),FanCost($),HeatingCost($),CoolingCost($),AnnualEnergy(kBtu),AnnualCost($),B_Illuminance(lux),B_FanEnergy(kBtu),B_HeatingEnergy(kBtu),B_CoolingEnergy(kBtu),B_FanEnergy($),B_HeatingCost($),B_CoolingCost($),B_AnnualEnergy(kBtu),B_AnnualCost($),deltaEnergy(kBtu),deltaCost($)
Clear/Clear-BBG60,578297.86,4620.55,22711.52,24857.55,151.66,252.1,815.92,52189.61,1219.69,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-3806.53,-199.29
Clear/Clear-BBG75,247561.06,4427.02,22635.67,23655.95,145.31,251.26,776.48,50718.64,1173.05,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-5277.5,-245.92
Clear/Clear-HTcellular,7464655.07,5269.86,19466.9,29495.74,172.98,216.08,968.17,54232.5,1357.23,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-1763.64,-61.75
Clear/Clear-LTcellular,3199985.41,4576.43,19431.2,25210.6,150.22,215.69,827.51,49218.23,1193.41,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-6777.92,-225.56
Clear/Clear-VB-15,8189985.14,5591.15,19119.25,31535.39,183.52,212.22,1035.12,56245.79,1430.86,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,249.65,11.89
Clear/Clear-VB-30,13912682.18,5585.43,19096.01,31497.92,183.34,211.97,1033.89,56179.35,1429.19,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,183.21,10.22
Clear/Clear-VB-45,16657289.31,5485.73,19302.69,30845.76,180.06,214.26,1012.48,55634.18,1406.8,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-361.97,-12.17
Clear/Clear-VB-60,12099458.32,5271.83,19789.13,29445.75,173.04,219.66,966.53,54506.71,1359.23,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-1489.44,-59.74
Clear/Clear-VB-75,3319723.17,4976.93,20526.94,27491.79,163.36,227.85,902.39,52995.65,1293.6,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-3000.49,-125.37
Clear/Clear-VB0,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,0.0,0.0
Clear/Clear-VB15,3410224.28,5434.68,19537.17,30506.96,178.39,216.86,1001.36,55478.81,1396.61,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-517.34,-22.36
Clear/Clear-VB30,2283876.1,5305.89,19833.02,29660.28,174.16,220.15,973.57,54799.19,1367.87,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-1196.95,-51.1
Clear/Clear-VB45,1371782.2,5149.95,20178.77,28633.07,169.04,223.98,939.85,53961.79,1332.88,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-2034.36,-86.1
Clear/Clear-VB60,763065.06,4977.95,20558.35,27495.8,163.4,228.2,902.52,53032.1,1294.11,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-2964.05,-124.86
Clear/Clear-VB75,335064.64,4812.39,20989.46,26384.43,157.96,232.98,866.04,52186.28,1256.99,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-3809.87,-161.99
lowE(2)/Clear,15023252.21,4508.6,20613.33,24557.28,147.99,228.81,806.07,49679.2,1182.87,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-6316.94,-236.11
lowE(2)/Clear-BBG-15,5722576.88,4498.43,24091.98,23811.0,147.66,267.42,781.57,52401.41,1196.65,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-3594.73,-222.32
lowE(2)/Clear-BBG-30,9903649.72,4465.87,23314.09,23758.35,146.59,258.79,779.84,51538.3,1185.22,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-4457.85,-233.76
lowE(2)/Clear-BBG-45,11565214.01,4395.11,22670.1,23440.63,144.27,251.64,769.41,50505.85,1165.32,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-5490.3,-253.66
lowE(2)/Clear-BBG-60,7662161.5,4284.69,22279.43,22825.57,140.64,247.3,749.23,49389.69,1137.17,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-6606.45,-281.8
lowE(2)/Clear-BBG-75,1761275.66,4143.88,22139.67,21968.16,136.02,245.75,721.08,48251.71,1102.85,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-7744.44,-316.12
lowE(2)/Clear-BBG0,3115346.01,4486.28,24566.98,23642.77,147.26,272.69,776.05,52696.04,1196.0,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-3300.11,-222.97
lowE(2)/Clear-BBG15,2144585.64,4437.36,24494.0,23351.22,145.65,271.88,766.48,52282.58,1184.01,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-3713.57,-234.96
lowE(2)/Clear-BBG30,1341160.28,4358.21,23989.77,22954.08,143.05,266.29,753.44,51302.06,1162.78,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-4694.08,-256.19
lowE(2)/Clear-BBG45,757055.43,4266.76,23393.94,22496.18,140.05,259.67,738.41,50156.88,1138.14,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-5839.27,-280.83
lowE(2)/Clear-BBG60,408052.36,4172.63,22833.5,22013.07,136.96,253.45,722.56,49019.19,1112.97,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-6976.96,-306.0
lowE(2)/Clear-BBG75,173870.95,4084.24,22411.36,21537.49,134.06,248.77,706.95,48033.08,1089.77,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-7963.06,-329.2
lowE(2)/Clear-HTcellular,5610595.51,4271.52,20668.0,23059.5,140.21,229.41,756.9,47999.02,1126.53,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-7997.13,-292.45
lowE(2)/Clear-LTcellular,2376120.21,4026.9,20485.07,21556.07,132.18,227.38,707.56,46068.05,1067.12,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-9928.1,-351.85
lowE(2)/Clear-VB-15,6238967.34,4368.39,20439.11,23712.89,143.39,226.87,778.35,48520.39,1148.61,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-7475.76,-270.36
lowE(2)/Clear-VB-30,10560761.86,4364.67,20418.3,23692.54,143.27,226.64,777.68,48475.5,1147.59,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-7520.64,-271.38
lowE(2)/Clear-VB-45,12596367.09,4332.67,20534.45,23468.81,142.22,227.93,770.34,48335.93,1140.49,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-7660.21,-278.49
lowE(2)/Clear-VB-60,9103117.8,4266.49,20810.02,23000.76,140.04,230.99,754.98,48077.27,1126.01,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-7918.88,-292.96
lowE(2)/Clear-VB-75,2463591.82,4174.55,21195.05,22348.56,137.03,235.27,733.57,47718.16,1105.86,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-8277.98,-313.11
lowE(2)/Clear-VB0,3563669.98,4352.21,20535.62,23593.95,142.86,227.95,774.45,48481.78,1145.25,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-7514.37,-273.72
lowE(2)/Clear-VB15,2572675.12,4320.88,20674.89,23371.13,141.83,229.49,767.13,48366.9,1138.45,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-7629.25,-280.52
lowE(2)/Clear-VB30,1707275.71,4280.2,20835.61,23084.75,140.49,231.28,757.73,48200.56,1129.5,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-7795.59,-289.47
lowE(2)/Clear-VB45,1014284.85,4230.49,21015.23,22737.13,138.86,233.27,746.32,47982.84,1118.45,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-8013.3,-300.52
lowE(2)/Clear-VB60,559816.98,4175.36,21204.95,22352.54,137.05,235.37,733.7,47732.85,1106.13,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-8263.3,-312.85
lowE(2)/Clear-VB75,244565.47,4122.16,21415.59,21975.15,135.31,237.71,721.31,47512.9,1094.33,4688441.62,5535.83,19289.43,31170.89,181.71,214.11,1023.15,55996.15,1418.97,-8483.25,-324.64
