Scenario,Month,Illuminance(lux)
Clear/Clear, 01,2378.4
Clear/Clear, 02,2217.68
Clear/Clear, 03,4026.99
Clear/Clear, 04,2037.58
Clear/Clear, 05,1113.74
Clear/Clear, 06,1134.01
Clear/Clear, 07,1127.42
Clear/Clear, 08,1626.96
Clear/Clear, 09,4533.54
Clear/Clear, 10,3282.67
Clear/Clear, 11,1397.44
Clear/Clear, 12,1963.29
Clear/Clear-BBG-15, 01,1737.17
Clear/Clear-BBG-15, 02,1174.02
Clear/Clear-BBG-15, 03,1236.95
Clear/Clear-BBG-15, 04,750.85
Clear/Clear-BBG-15, 05,750.7
Clear/Clear-BBG-15, 06,759.63
Clear/Clear-BBG-15, 07,745.38
Clear/Clear-BBG-15, 08,795.59
Clear/Clear-BBG-15, 09,927.66
Clear/Clear-BBG-15, 10,1270.76
Clear/Clear-BBG-15, 11,985.47
Clear/Clear-BBG-15, 12,1509.25
Clear/Clear-BBG-30, 01,1810.16
Clear/Clear-BBG-30, 02,1648.09
Clear/Clear-BBG-30, 03,2414.58
Clear/Clear-BBG-30, 04,1249.44
Clear/Clear-BBG-30, 05,966.19
Clear/Clear-BBG-30, 06,991.3
Clear/Clear-BBG-30, 07,973.24
Clear/Clear-BBG-30, 08,1150.33
Clear/Clear-BBG-30, 09,2307.92
Clear/Clear-BBG-30, 10,2253.49
Clear/Clear-BBG-30, 11,1045.48
Clear/Clear-BBG-30, 12,1454.92
Clear/Clear-BBG-45, 01,1268.17
Clear/Clear-BBG-45, 02,1525.82
Clear/Clear-BBG-45, 03,2958.24
Clear/Clear-BBG-45, 04,1571.56
Clear/Clear-BBG-45, 05,973.11
Clear/Clear-BBG-45, 06,1040.29
Clear/Clear-BBG-45, 07,1015.49
Clear/Clear-BBG-45, 08,1279.26
Clear/Clear-BBG-45, 09,3409.3
Clear/Clear-BBG-45, 10,2429.24
Clear/Clear-BBG-45, 11,793.47
Clear/Clear-BBG-45, 12,968.22
Clear/Clear-BBG-60, 01,586.52
Clear/Clear-BBG-60, 02,877.48
Clear/Clear-BBG-60, 03,1935.96
Clear/Clear-BBG-60, 04,1105.2
Clear/Clear-BBG-60, 05,599.54
Clear/Clear-BBG-60, 06,675.79
Clear/Clear-BBG-60, 07,658.04
Clear/Clear-BBG-60, 08,854.24
Clear/Clear-BBG-60, 09,2417.9
Clear/Clear-BBG-60, 10,1421.22
Clear/Clear-BBG-60, 11,414.18
Clear/Clear-BBG-60, 12,413.88
Clear/Clear-BBG-75, 01,129.16
Clear/Clear-BBG-75, 02,203.53
Clear/Clear-BBG-75, 03,464.62
Clear/Clear-BBG-75, 04,379.12
Clear/Clear-BBG-75, 05,208.58
Clear/Clear-BBG-75, 06,174.5
Clear/Clear-BBG-75, 07,175.15
Clear/Clear-BBG-75, 08,291.49
Clear/Clear-BBG-75, 09,639.1
Clear/Clear-BBG-75, 10,281.68
Clear/Clear-BBG-75, 11,115.41
Clear/Clear-BBG-75, 12,88.77
Clear/Clear-BBG0, 01,1113.15
Clear/Clear-BBG0, 02,606.54
Clear/Clear-BBG0, 03,555.19
Clear/Clear-BBG0, 04,539.46
Clear/Clear-BBG0, 05,527.13
Clear/Clear-BBG0, 06,526.18
Clear/Clear-BBG0, 07,514.68
Clear/Clear-BBG0, 08,555.4
Clear/Clear-BBG0, 09,546.55
Clear/Clear-BBG0, 10,512.29
Clear/Clear-BBG0, 11,658.2
Clear/Clear-BBG0, 12,1003.59
Clear/Clear-BBG15, 01,524.61
Clear/Clear-BBG15, 02,390.65
Clear/Clear-BBG15, 03,389.95
Clear/Clear-BBG15, 04,384.16
Clear/Clear-BBG15, 05,366.93
Clear/Clear-BBG15, 06,362.37
Clear/Clear-BBG15, 07,353.63
Clear/Clear-BBG15, 08,385.54
Clear/Clear-BBG15, 09,396.64
