Scenario,Month,Illuminance(lux)
hou_102_102_1VB-15, 01,1507.57
hou_102_102_1VB-15, 02,1010.91
hou_102_102_1VB-15, 03,723.67
hou_102_102_1VB-15, 04,744.63
hou_102_102_1VB-15, 05,655.24
hou_102_102_1VB-15, 06,662.99
hou_102_102_1VB-15, 07,735.13
hou_102_102_1VB-15, 08,742.83
hou_102_102_1VB-15, 09,836.25
hou_102_102_1VB-15, 10,874.49
hou_102_102_1VB-15, 11,1305.21
hou_102_102_1VB-15, 12,1421.43
hou_102_102_1VB-30, 01,2711.51
hou_102_102_1VB-30, 02,2430.98
hou_102_102_1VB-30, 03,914.01
hou_102_102_1VB-30, 04,975.59
hou_102_102_1VB-30, 05,868.34
hou_102_102_1VB-30, 06,856.14
hou_102_102_1VB-30, 07,960.64
hou_102_102_1VB-30, 08,968.46
hou_102_102_1VB-30, 09,1060.41
hou_102_102_1VB-30, 10,2177.07
hou_102_102_1VB-30, 11,2792.58
hou_102_102_1VB-30, 12,2402.76
hou_102_102_1VB-45, 01,2899.68
hou_102_102_1VB-45, 02,3440.69
hou_102_102_1VB-45, 03,899.61
hou_102_102_1VB-45, 04,1050.95
hou_102_102_1VB-45, 05,1012.97
hou_102_102_1VB-45, 06,964.11
hou_102_102_1VB-45, 07,1083.84
hou_102_102_1VB-45, 08,1093.22
hou_102_102_1VB-45, 09,1099.63
hou_102_102_1VB-45, 10,3380.32
hou_102_102_1VB-45, 11,3561.12
hou_102_102_1VB-45, 12,2450.98
hou_102_102_1VB-60, 01,1655.9
hou_102_102_1VB-60, 02,2334.93
hou_102_102_1VB-60, 03,586.6
hou_102_102_1VB-60, 04,784.91
hou_102_102_1VB-60, 05,1163.8
hou_102_102_1VB-60, 06,1043.44
hou_102_102_1VB-60, 07,1153.93
hou_102_102_1VB-60, 08,1042.8
hou_102_102_1VB-60, 09,745.8
hou_102_102_1VB-60, 10,2507.03
hou_102_102_1VB-60, 11,2246.39
hou_102_102_1VB-60, 12,1378.64
hou_102_102_1VB-75, 01,359.74
