,Scenario,FanEnergy(kBtu),HeatingEnergy(kBtu),CoolingEnergy(kBtu),FanEnergy($),HeatingEnergy($),CoolingEnergy($),AnnualEnergy(kBtu),AnnualCost($),DeltaEnergyFromBase,DeltaCostFromBase
24,Clear/lowE(3),2373.06,103814.83,8086.32,91.39,861.66,311.4,114274.21,1264.45,-3883.8058893399284,-68.7260890069017
25,Clear/lowE(3)-BBG-15,2473.91,118478.35,6807.57,95.27,983.37,262.16,127759.83,1340.8,9601.814110660067,7.623910993098207
26,Clear/lowE(3)-BBG-30,2432.26,114660.51,6983.06,93.67,951.68,268.91,124075.83,1314.26,5917.814110660067,-18.916089006901757
27,Clear/lowE(3)-BBG-45,2380.78,112316.5,6824.38,91.68,932.23,262.8,121521.66,1286.71,3363.6441106600687,-46.46608900690171
28,Clear/lowE(3)-BBG-60,2317.31,111658.36,6274.87,89.24,926.76,241.64,120250.54,1257.65,2092.524110660059,-75.52608900690166
29,Clear/lowE(3)-BBG-75,2234.5,112438.59,5290.15,86.05,933.24,203.72,119963.24,1223.01,1805.2241106600704,-110.16608900690176
30,Clear/lowE(3)-BBG0,2487.81,121260.12,6509.58,95.8,1006.46,250.68,130257.51,1352.94,12099.49411066006,19.763910993098307
31,Clear/lowE(3)-BBG15,2464.92,121274.41,6271.06,94.92,1006.58,241.5,130010.39,1343.0,11852.374110660065,9.823910993098252
32,Clear/lowE(3)-BBG30,2406.91,119241.0,5994.67,92.69,989.7,230.85,127642.57,1313.24,9484.554110660072,-19.93608900690174
33,Clear/lowE(3)-BBG45,2335.16,116964.36,5613.24,89.93,970.8,216.16,124912.76,1276.89,6754.74411066006,-56.28608900690165
34,Clear/lowE(3)-BBG60,2317.31,111658.36,6274.87,89.24,926.76,241.64,120250.54,1257.65,2092.524110660059,-75.52608900690166
35,Clear/lowE(3)-BBG75,2200.46,113967.68,4685.76,84.74,945.93,180.45,120853.9,1211.12,2695.8841106600594,-122.05608900690186
36,Clear/lowE(3)-HTcellular,2261.68,104095.29,6899.84,87.1,863.99,265.71,113256.82,1216.8,-4901.195889339928,-116.3760890069018
37,Clear/lowE(3)-LTcellular,2121.57,103453.52,5552.77,81.7,858.66,213.83,111127.86,1154.2,-7030.155889339934,-178.9760890069017
38,Clear/lowE(3)-VB-15,2293.61,103067.57,7389.93,88.33,855.46,284.58,112751.11,1228.37,-5406.905889339934,-104.80608900690186
39,Clear/lowE(3)-VB-30,2291.79,103049.89,7373.89,88.26,855.31,283.97,112715.58,1227.54,-5442.435889339933,-105.63608900690178
40,Clear/lowE(3)-VB-45,2285.16,103645.55,7212.07,88.0,860.26,277.73,113142.78,1225.99,-5015.235889339936,-107.18608900690174
41,Clear/lowE(3)-VB-60,2270.78,104767.23,6887.82,87.45,869.57,265.25,113925.84,1222.26,-4232.175889339938,-110.91608900690176
42,Clear/lowE(3)-VB-75,2249.23,106212.56,6436.42,86.62,881.56,247.86,114898.21,1216.04,-3259.8058893399284,-117.13608900690178
43,Clear/lowE(3)-VB0,2291.65,103505.29,7301.25,88.25,859.09,281.17,113098.19,1228.51,-5059.8258893399325,-104.66608900690176
44,Clear/lowE(3)-VB15,2284.68,104103.59,7135.69,87.98,864.06,274.79,113523.96,1226.83,-4634.055889339928,-106.34608900690182
